username,followers
pataguccigoon,2066
anammostarac,30900
chefcowboyardee,1227
darkyudkowsky,676
HotForMoot,8920
DvnnyyPhantom,2788
cynical_ingroup,1289
generic_void,5718
nymphindistress,4604
gfodor,20300
nearcyan,28100
UubzU,7186
luke_metro,5389
Teknium1,6865
mimi10v3,4978
ryaneshea,28100
SoTechBro,1737
lilclearpill,6471
Chrisprucha,20000
bayeslord,8256
gsspmusic,6219
llamapuckey,710
micsolana,248100
eladgil,135200
dotnetschizo,3274
stableshaman,1908
yacineMTB,25500
tekbog,1564
wagieeacc,23000
cto_junior,5828
chloe21e8,19000
10x_er,18400
goth600,36100
untitled01ipynb,10700
codethazine,291
tszzl,109100
Soul0Engineer,4369
growing_daniel,75400
finnydegods,12686
AdamNeumannsCoS,22300
BasedBeffJezos,26800
creatine_cycle,7167
